TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
150807552,0.1307103,2.12,0.03515765,-1.32,0.2338568,92.89,1000,1000,1000,1000,,,,,,,,
150907501,0.05428426,2.13,0.01034171,-1.34,-0.194834,92.87,1000,1000,1000,1000,,,,,,,,
151007417,0.1526107,2.14,-0.01225501,-1.35,0.3444425,92.88,1000,1000,1000,1000,,,,,,,,
151107522,0.2092316,2.14,0.09603146,-1.36,-0.1649934,92.88,1000,1000,1000,1000,,,,,,,,
151207498,0.07443604,2.13,0.08258459,-1.36,0.3290475,92.89,1000,1000,1000,1000,,,,,,,,
151307384,0.1265366,2.12,0.0668053,-1.36,-0.1880954,92.9,1000,1000,1000,1000,,,,,,,,
151407520,0.1626097,2.12,0.1709241,-1.35,0.2245939,92.89,1000,1000,1000,1000,,,,,,,,
151507418,-4.980433,2.17,-4.014685,-1.23,-0.933333,92.82,1000,1000,1000,1000,,,,,,,,
151607412,6.405271,1.93,5.835154,-1.51,1.862961,92.88,1000,1000,1000,1000,,,,,,,,
151707384,-3.072844,1.83,2.140468,-1.41,-1.577383,92.94,1000,1000,1000,1000,,,,,,,,
151807545,-4.91057,1.92,-2.545786,-1.27,-0.2607462,92.81,1000,1000,1000,1000,,,,,,,,
151907388,-0.5946718,1.88,2.198472,-1.27,2.518594,92.94,1000,1000,1000,1000,,,,,,,,
152007323,-4.444037,1.79,-1.200445,-1.13,-5.138991,92.91,1000,1000,1000,1000,,,,,,,,
152107643,-1.028765,1.82,3.141832,-0.89,-1.594325,92.4,1000,1000,1000,1000,,,,,,,,
152207611,-1.356506,1.83,0.05255214,-0.94,-0.5040257,92.27,1000,1000,1000,1000,,,,,,,,
152307748,1.143906,1.81,2.800783,-0.98,1.774278,92.48,1000,1000,1000,1000,,,,,,,,
152407722,0.7179124,1.82,0.6720841,-0.99,-0.6627662,92.49,1000,1000,1000,1000,,,,,,,,
152507647,0.3417619,1.83,0.2332603,-1,0.1954457,92.53,1000,1000,1000,1000,,,,,,,,
152607739,0.7305088,1.85,-0.4358978,-1,1.219177,92.52,1000,1000,1000,1000,,,,,,,,
152707646,0.8642918,1.86,-0.3301739,-1.01,0.1755562,92.64,1000,1000,1000,1000,,,,,,,,
152807621,0.5807351,1.87,-0.3670226,-1.04,-0.000747594,92.6,1000,1000,1000,1000,,,,,,,,
152907862,-0.3061622,1.86,-0.4216468,-1.05,1.161121,92.67,1000,1000,1000,1000,,,,,,,,
153007771,-0.6176094,1.85,-0.6595489,-1.03,0.6069933,92.68,1000,1000,1000,1000,,,,,,,,
153107676,-0.743802,1.87,-0.465632,-1.04,1.244622,92.8,1000,1000,1000,1000,,,,,,,,
153207620,-0.7804536,1.86,-0.04341396,-1.06,-0.3647,92.72,1000,1000,1000,1000,,,,,,,,
